date_key,full_date,day_of_week,day_name,day_of_month,day_of_year,month,month_name,quarter,year,is_weekend
2017-10-01,2017-10-01,6,Sunday,1,274,10,October,4,2017,True
2017-05-05,2017-05-05,4,Friday,5,125,5,May,2,2017,False
2018-04-14,2018-04-14,5,Saturday,14,104,4,April,2,2018,True
2018-08-25,2018-08-25,5,Saturday,25,237,8,August,3,2018,True
2017-06-06,2017-06-06,1,Tuesday,6,157,6,June,2,2017,False
2017-07-23,2017-07-23,6,Sunday,23,204,7,July,3,2017,True
2017-07-11,2017-07-11,1,Tuesday,11,192,7,July,3,2017,False
2018-08-15,2018-08-15,2,Wednesday,15,227,8,August,3,2018,False
2017-06-24,2017-06-24,5,Saturday,24,175,6,June,2,2017,True
2018-02-04,2018-02-04,6,Sunday,4,35,2,February,1,2018,True
2018-04-23,2018-04-23,0,Monday,23,113,4,April,2,2018,False
2017-04-24,2017-04-24,0,Monday,24,114,4,April,2,2017,False
2017-03-15,2017-03-15,2,Wednesday,15,74,3,March,1,2017,False
2017-11-14,2017-11-14,1,Tuesday,14,318,11,November,4,2017,False
2017-05-12,2017-05-12,4,Friday,12,132,5,May,2,2017,False
2018-02-18,2018-02-18,6,Sunday,18,49,2,February,1,2018,True
2018-02-07,2018-02-07,2,Wednesday,7,38,2,February,1,2018,False
2018-06-10,2018-06-10,6,Sunday,10,161,6,June,2,2018,True
2017-04-18,2017-04-18,1,Tuesday,18,108,4,April,2,2017,False
2017-04-12,2017-04-12,2,Wednesday,12,102,4,April,2,2017,False
2017-10-29,2017-10-29,6,Sunday,29,302,10,October,4,2017,True
2017-08-11,2017-08-11,4,Friday,11,223,8,August,3,2017,False
